Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code,Latitude,Longitude,Effective Rating
Sree Sai Multispecialty Hospital,NANDYAL,ANDHRA PRADESH,3.4,25.0,"FFMP+WX Nandyala, Andhra Pradesh",15.4860625,78.4737429,1.0264428426707595
Santhiram General Hospital,Nandyal,ANDHRA PRADESH,3.7,232.0,"FCV8+2X Nandyala, Andhra Pradesh",15.4860625,78.4882429,1.9250726398836193
Sri Narmada Hospital,NANDYAL,ANDHRA PRADESH,4.1,26.0,"FFPR+C8 Nandyala, Andhra Pradesh",15.4860625,78.4882429,1.2671699390578404
Maruthi Hospital,NELAMANGALA,ANDHRA PRADESH,4.0,73.0,"5C8X+RJ Nellimarla, Andhra Pradesh",18.1670625,83.4464929,1.6332250516685864
Vijaya Krishna Hospital Pvt Ltd,NELLORE,ANDHRA PRADESH,3.5,66.0,"CXXM+J7 Nellore, Andhra Pradesh",14.4490625,79.9806179,1.3861290554429464
RSR Hospital,NELLORE,ANDHRA PRADESH,3.9,67.0,"CXXM+FW Nellore, Andhra Pradesh",14.4486875,79.9822429,1.5580851229966437
Rudra Multi Speciality Hospital,NELLORE,ANDHRA PRADESH,4.9,105.0,"FX2M+6V Nellore, Andhra Pradesh",14.4486875,79.9822429,2.190175511162397
KBR Orthopedic Hospital,NELLORE,ANDHRA PRADESH,3.9,21.0,"FX3P+26 Nellore, Andhra Pradesh",14.4525625,79.9829929,1.1230673983542265
Simhapuri Hospitals,NELLORE,ANDHRA PRADESH,4.5,20.0,"CXPX+MP Nellore, Andhra Pradesh",14.4366875,79.9967429,1.2856954275800798
Apollo Hospital Nellore,Nellore,ANDHRA PRADESH,4.9,13062.0,"CXQV+82 Nellore, Andhra Pradesh",14.4366875,79.9967429,4.521836150217474
"Kidz Rainbow Children And Baby Hospital Ramesh Reddy Nagar,Near Rtc Bus Stand.,,",Nellore,ANDHRA PRADESH,4.1,90.0,,14.4383125,79.9899929,1.7595748573158618
Lotus Hospital(Nellore),Nellore,ANDHRA PRADESH,4.7,1845.0,"CXXM+CV Nellore, Andhra Pradesh",14.4383125,79.9899929,3.4254199019474396
Mydhili Hospital,Nellore,ANDHRA PRADESH,4.0,151.0,"4VW2+32 Gudur, Andhra Pradesh",14.1451875,79.8474929,1.9178253144213848
"Rainbow Super Speciality 
Hospital(Nellore)",Nellore,ANDHRA PRADESH,3.6,132.0,,14.4496875,79.9824929,1.6716753608262462
"Sai Suresh Children Surgical And 
Meternity Hospital",Nellore,ANDHRA PRADESH,4.6,15.0,"CXXP+V2 Nellore, Andhra Pradesh",14.4496875,79.9824929,1.1921444029973627
St. Josephs Hospital.,Nellore,ANDHRA PRADESH,4.1,228.5,,14.4518125,79.9831179,2.134461682575174
Venkataramana Hospital,Nellore,ANDHRA PRADESH,4.1,199.0,"FX2P+P7 Nellore, Andhra Pradesh",14.4518125,79.9831179,2.0787031684037385
Vijaya Care Hospital,Nellore,ANDHRA PRADESH,3.0,29.0,"FX2Q+V4 Nellore, Andhra Pradesh",14.4521875,79.9852429,0.940058740001604
Reshma Mutilspeciality Hospital(RMH),NELLORE,ANDHRA PRADESH,4.3,82.0,"FX2P+J8 Nellore, Andhra Pradesh",14.4521875,79.9852429,1.809638860802521
Chaitanya Hospital Ongole,ONGOLE,ANDHRA PRADESH,3.6,35.0,"G26P+W7 Ongole, Andhra Pradesh",15.5123125,80.0331179,1.2066508823442958
Zachariah's Hospital,ONGOLE,ANDHRA PRADESH,4.4,40.0,"F2XV+C9 Ongole, Andhra Pradesh",15.4985625,80.0408679,1.5465832411334905
Srinivasa Hospital,ONGOLE,ANDHRA PRADESH,3.0,54.0,"G26Q+JP Ongole, Andhra Pradesh",15.5115625,80.0367429,1.1197989925046676
Sri Prasanthi Hospital,ONGOLE,ANDHRA PRADESH,4.7,193.0,"G26R+J8 Ongole, Andhra Pradesh",15.5115625,80.0367429,2.378779616091041
Prasad Multi Speciality Hospital,ONGOLE,ANDHRA PRADESH,3.9,43.0,"F2WX+VC Ongole, Andhra Pradesh",15.4971875,80.0459929,1.3902721783363938
Manasa Mother and Child Hospital,ONGOLE,ANDHRA PRADESH,3.6,103.0,"G26Q+VQ Ongole, Andhra Pradesh",15.5121875,80.0368679,1.5841532036996502
BGR Hospital,PRODDUTUR,ANDHRA PRADESH,4.4,10.0,"PGXX+H2 Proddatur, Andhra Pradesh",14.7489375,78.5449929,0.9743724471568453
Shree Madan Multispecialty Hospital,PRODDUTUR,ANDHRA PRADESH,3.7,36.0,,14.7489375,78.5449929,1.2520926485799337
Svr Hospital (Proddatur),PRODDUTUR,ANDHRA PRADESH,3.5,36.0,"QG2X+Q7 Proddatur, Andhra Pradesh",14.7489375,78.5449929,1.1807085029188955
Chandrakala Super Specialty Hospital,RAJAHMUNDRY,ANDHRA PRADESH,4.9,212.0,"2Q4P+W9 Rajamahendravaram, Andhra Pradesh",17.0073125,81.7833679,2.528173588020511
Kamala Hospital,SRIKAKULAM,ANDHRA PRADESH,3.5,26.0,,16.7571875,81.6748679,1.071703990003141
Mother Vannini Hospital,TADEPALLIGUDEM,ANDHRA PRADESH,4.0,41.0,,16.7571875,81.6748679,1.4092838928739133
"Geeta Hospitals(Sri Geeta Health Care 
Pvt Ltd)",TANUKU,ANDHRA PRADESH,3.7,86.0,"QM4G+VX Tanuku, Andhra Pradesh",16.7571875,81.6748679,1.5647848274941747
Sri Aditya Hospital,TANUKU,ANDHRA PRADESH,4.6,37.0,,16.7571875,81.6748679,1.5854469939336653
Nisa Hospital,TANUKU,ANDHRA PRADESH,4.4,132.0,"QM4M+F3 Tanuku, Andhra Pradesh",16.7571875,81.6748679,2.0583841179319173
"Gayathri Hospitals ( A Unit Of 
J.D.Hospital Pvt.Ltd )",TIRUPATI,ANDHRA PRADESH,3.9,91.0,"JCPC+QG Tirupati, Andhra Pradesh",13.6369375,79.4187429,1.674612891018979
"Venkataramana Heart and Maternity 
Hospital",TIRUPATI,ANDHRA PRADESH,4.3,1080.0,"JCPC+42 Tirupati, Andhra Pradesh",13.6369375,79.4187429,2.9006139788747562
Sri Sai Multi Speciality Hospital,TIRUPATI,ANDHRA PRADESH,4.5,92.0,"JCQ7+8M Tirupati, Andhra Pradesh",13.6353125,79.4174929,1.9475949823783119
Gopi Madhavi Hospital,TIRUPATI,ANDHRA PRADESH,4.2,90.0,"JCPC+25 Tirupati, Andhra Pradesh",13.6383125,79.4116179,1.8041623915467193
Care Plus Hospitals,TIRUPATI,ANDHRA PRADESH,4.6,57.0,"JC97+M9 Tirupati, Andhra Pradesh",13.6191875,79.4108679,1.7777142629627252
Suraksha Hospital Tirupati,TIRUPATI,ANDHRA PRADESH,4.2,132.0,"JCRM+X3 Tirupati, Andhra Pradesh",13.6424375,79.4301179,1.9617069286554996
Fortuna Women & Orthocare Hospital,TIRUPATI,ANDHRA PRADESH,3.6,203.0,"JCF6+3H Tirupati, Andhra Pradesh",13.6226875,79.4088679,1.8238940080948187
Elite Multi Specialiy Hospital Pvt Ltd,Tirupati,ANDHRA PRADESH,4.5,343.0,"JCPC+HP Tirupati, Andhra Pradesh",13.6364375,79.4192429,2.529414669064188
"Sree Ramadevi Multi Super Speciality 
Hospital",Tirupati,ANDHRA PRADESH,4.3,1449.0,"JCQ9+52 Tirupati, Andhra Pradesh",13.6379375,79.4149929,3.0254363912665125
Vidyu Hemanth Hospital Tirupati,Tirupati,ANDHRA PRADESH,4.4,59.0,"JCPC+99 Tirupati, Andhra Pradesh",13.6379375,79.4149929,1.7121878432621518
Amma Children Hospital,TIRUPATI,ANDHRA PRADESH,3.8,133.0,"JCQF+5M Tirupati, Andhra Pradesh",13.6359375,79.4183679,1.771166125232377
Helios Hospital,TIRUPATI,ANDHRA PRADESH,4.7,1239.0,"JCQF+8G Tirupati, Andhra Pradesh",13.6379375,79.4216179,3.2405626040223208
"Narayanadri Hospital & Research 
Institute PVT LTD",TIRUPATI,ANDHRA PRADESH,4.9,9953.0,"JFH7+9G Tirupati, Andhra Pradesh",13.6284375,79.4612429,4.390188052326586
Andhra Hospitals,Vijayawada,ANDHRA PRADESH,4.6,2201.0,"GJ6H+CQ Vijayawada, Andhra Pradesh",16.5110625,80.6268679,3.4312625146167584
Anu Hospital,Vijayawada,ANDHRA PRADESH,4.2,819.0,,16.4844375,80.6143679,2.716843408052396
Boppana Superspeciality Hospital,Vijayawada,ANDHRA PRADESH,4.8,6594.0,"FJM8+QQ Vijayawada, Andhra Pradesh",16.4844375,80.6143679,4.103878544445022
"Gayathri Women And Child Care Hospital 
Pediatric Super Speciality Center",Vijayawada,ANDHRA PRADESH,4.8,6594.0,"FJM8+QQ Vijayawada, Andhra Pradesh",16.4844375,80.6143679,4.103878544445022
Giridhar Ent Hospital And Laser Centre,Vijayawada,ANDHRA PRADESH,4.3,96.0,"GJ7M+9G Vijayawada, Andhra Pradesh",16.5134375,80.6312429,1.875888905969137
Kamineni Hospitals,Vijayawada,ANDHRA PRADESH,4.7,4262.0,,16.4899375,80.6689929,3.8142434555660247
Liberty Hospitals,Vijayawada,ANDHRA PRADESH,3.6,346.0,"FMQC+XJ Vijayawada, Andhra Pradesh",16.4899375,80.6689929,2.01291874180471
Life Line Hospital Trimurthy Hospital,Vijayawada,ANDHRA PRADESH,3.7,130.0,"GJ6P+92 Vijayawada, Andhra Pradesh",16.5109375,80.6324929,1.7144725458751169
Mjnaidu Super Speciality Hospital,Vijayawada,ANDHRA PRADESH,4.6,1297.0,"GJ6Q+C6 Vijayawada, Andhra Pradesh",16.5109375,80.6324929,3.1909419068303535
Nori Multi Speciality Hospital,Vijayawada,ANDHRA PRADESH,4.4,944.0,"GJ9J+HG Vijayawada, Andhra Pradesh",16.5189375,80.6287429,2.9111858202620655
Sagar Super Speciality Hospitals.,Vijayawada,ANDHRA PRADESH,5.0,1.0,,16.5098125,80.6623679,0.2740561845970949
Sentini Hospitals Pvt Ltd,Vijayawada,ANDHRA PRADESH,4.4,1600.0,"GM57+WX Vijayawada, Andhra Pradesh",16.5098125,80.6623679,3.1404737707932857
Sindhura Hospitals Vijayawada,Vijayawada,ANDHRA PRADESH,3.6,127.0,"GJ7M+38 Vijayawada, Andhra Pradesh",16.5126875,80.6307429,1.6580399168124242
Sri Santhi Hospitals,Vijayawada,ANDHRA PRADESH,3.2,115.0,,16.4844375,80.6143679,1.4350636383019668
Vignesh Super Specialities Hospital,Vijayawada,ANDHRA PRADESH,4.8,6594.0,"FJM8+QQ Vijayawada, Andhra Pradesh",16.4844375,80.6143679,4.103878544445022
Vijaya Super Speciality Hospital,Vijayawada,ANDHRA PRADESH,4.5,1609.0,"GJ7P+FW Vijayawada, Andhra Pradesh",16.5136875,80.6347429,3.2158987583066496
"Vijaywada Multi Speciality Hospital (A 
Unit Of Durgabhavani Hosp Pvt Ltd)",Vijayawada,ANDHRA PRADESH,3.9,89.0,"GHFV+MM Vijayawada, Andhra Pradesh",16.5241875,80.5916179,1.66614013213205
Vijetha Hospital(Vijayawada),Vijayawada,ANDHRA PRADESH,3.3,4.0,"GJ7P+W3 Vijayawada, Andhra Pradesh",16.5148125,80.6326179,0.45646542639047244
Charithasri Hospital Ltd,VIJAYWADA,ANDHRA PRADESH,4.8,6594.0,"FJM8+QQ Vijayawada, Andhra Pradesh",16.4844375,80.6143679,4.103878544445022
"Andhra Hospitals (Bhavanipuram) Pvt Ltd D.NO.16-72/1,OPP.HIGH SCHOOL, Gollapudi",VIJAYWADA,ANDHRA PRADESH,4.6,20.0,"GHPM+JV Vijayawada, Andhra Pradesh",16.5365625,80.5821179,1.3157889714407323
Srikara Hospitals,VIJAYWADA,ANDHRA PRADESH,4.7,2035.0,"GP22+V7 Penamaluru, Andhra Pradesh",16.5021875,80.6981179,3.470932038410795
Vennela Mother And Child Hospital,VIJAYWADA,ANDHRA PRADESH,3.9,70.0,"FMX4+W2 Vijayawada, Andhra Pradesh",16.5113125,80.6157429,1.5747277798639432
"Global Multispeciality Hospital (Global 
Medical Center)",VIJAYWADA,ANDHRA PRADESH,3.0,89.0,"GJ69+G8 Vijayawada, Andhra Pradesh",16.5113125,80.6157429,1.265835321759437
Sunrise Hospital(Vijayawada),VIJAYWADA,ANDHRA PRADESH,2.9,531.0,"GJ7Q+4M Vijayawada, Andhra Pradesh",16.5128125,80.6366179,1.7306866660245719
Time Hospitals Pvt Ltd,VIJAYWADA,ANDHRA PRADESH,5.0,1.0,"FMX3+2X Vijayawada, Andhra Pradesh",16.4975625,80.6523679,0.2740561845970949
Bmr Hospitals,VIJAYWADA,ANDHRA PRADESH,3.7,3.0,,16.5106875,80.6347429,0.4384898953553518
Nandan Hospital,VIJAYWADA,ANDHRA PRADESH,4.6,70.0,"GJ6P+7W Vijayawada, Andhra Pradesh",16.5106875,80.6347429,1.869668620430418
Bharathi Hospital,Visakhapatnam,ANDHRA PRADESH,4.4,208.0,"P865+8C Visakhapatnam, Andhra Pradesh",17.7108125,83.3059929,2.254960334614157
Annapoorna Hospital,Visakhapatnam,ANDHRA PRADESH,2.8,20.0,"P8G3+XR Visakhapatnam, Andhra Pradesh",17.7274375,83.3019929,0.7741051819489906
Seven Hills Hospitals Ltd,VISAKHAPATNAM,ANDHRA PRADESH,4.1,1893.0,"P885+WP Visakhapatnam, Andhra Pradesh",17.7173125,83.3067429,2.98978885016138
"Lotus Hospitals For Women And Children #10-59-9, opposite Waltair Club, behind Gothi sons,",VISAKHAPATNAM,ANDHRA PRADESH,4.4,636.0,"P8C7+GX Visakhapatnam, Andhra Pradesh",17.7173125,83.3067429,2.739647736632313
Usha Prime Molti Speciality Hospital,VISAKHAPATNAM,ANDHRA PRADESH,4.5,892.0,,17.7061875,83.3066179,2.953731217635895
Abc Hospital(Visakhapatnam),Visakhapatnam,ANDHRA PRADESH,3.4,118.0,"P845+FM Visakhapatnam, Andhra Pradesh",17.7061875,83.3066179,1.5376182860995096
"Aditya Multicare 
Hospital(Visakhapatnam)",Visakhapatnam,ANDHRA PRADESH,2.9,68.0,,17.7173125,83.3066179,1.1451931608041597
Apollo Hospital (Visakhapatnam),VISAKHAPATNAM,ANDHRA PRADESH,4.8,3804.0,"P885+WM Visakhapatnam, Andhra Pradesh",17.7173125,83.3066179,3.842930070625971
"Care Hospital( The Institute Of Medical 
Sciences)",Visakhapatnam,ANDHRA PRADESH,4.6,4917.0,"P8C7+44 Visakhapatnam, Andhra Pradesh",17.7173125,83.3066179,3.7966193814061353
Durga Hospital (Kancharapalem),Visakhapatnam,ANDHRA PRADESH,4.0,136.0,"P7PC+9J Visakhapatnam, Andhra Pradesh",17.7359375,83.2689929,1.8767455446546588
Kims Icon Hospital(Icon Krishi Hospital),VISAKHAPATNAM,ANDHRA PRADESH,4.5,24414.0,"P57W+Q7 Visakhapatnam, Andhra Pradesh",17.7144375,83.1931179,4.425298994572883
Kala Hospital(Visakhapatnam),Visakhapatnam,ANDHRA PRADESH,3.1,137.0,"P8H4+J8 Visakhapatnam, Andhra Pradesh",17.7290625,83.3032429,1.4412906491740418
"Mahatma Gandhi Cancer Hospital And 
Research Institute (Visakhpatnam)",Visakhapatnam,ANDHRA PRADESH,4.9,5864.0,"P8VP+F8 Visakhapatnam, Andhra Pradesh",17.7436875,83.3332429,4.1339858151731415
"Mycure Hospitals Unit Ii (Sahrudaya 
Healthcare Pvt Ltd)",VISAKHAPATNAM,ANDHRA PRADESH,4.1,228.5,,17.7186875,83.3089929,2.134461682575174
Omni Rk Super Hospital,Visakhapatnam,ANDHRA PRADESH,4.0,1700.0,"P896+FJ Visakhapatnam, Andhra Pradesh",17.7186875,83.3089929,2.8727028109852597
Padmaja Hospital (Visakhapatnam),Visakhapatnam,ANDHRA PRADESH,2.9,167.0,"M6P3+MC Visakhapatnam, Andhra Pradesh",17.6866875,83.2009929,1.4002709273083245
Padmasri Hospitals,Visakhapatnam,ANDHRA PRADESH,3.1,136.0,"P8Q3+7F Visakhapatnam, Andhra Pradesh",17.7381875,83.3011179,1.439062136723774
"Queen'S Nri Hospital ( Chalasani 
Hospitals Pvt Ltd)",Visakhapatnam,ANDHRA PRADESH,4.5,2079.0,"P8R5+75 Visakhapatnam, Andhra Pradesh",17.7381875,83.3011179,3.32982753042318
Raghavendra Hospital(Vishakhapatnam),Visakhapatnam,ANDHRA PRADESH,4.3,16.0,"P8Q3+WM Visakhapatnam, Andhra Pradesh",17.7640625,83.3064929,1.1356950101278556
Sraddha Hospital,Visakhapatnam,ANDHRA PRADESH,3.5,144.0,"P855+6G Visakhapatnam, Andhra Pradesh",17.7640625,83.3064929,1.6532221334437822
Susruta Ent Super Hospital,VISAKHAPATNAM,ANDHRA PRADESH,4.6,47.0,"Q875+JJ Visakhapatnam, Andhra Pradesh",17.7640625,83.3064929,1.6916684950260399
Venkatarama Hospital ( Visakhapatnam),Visakhapatnam,ANDHRA PRADESH,4.2,131.0,"P8H3+69 Visakhapatnam, Andhra Pradesh",17.7280625,83.3008679,1.9585737177577958
Ramsaranya Hospitals Pvt Ltd,VISAKHAPATNAM,ANDHRA PRADESH,3.4,17.0,"P856+V4 Visakhapatnam, Andhra Pradesh",17.7096875,83.3077429,0.9028606294093445
MB Multispeciality Hospital,VISAKHAPATNAM,ANDHRA PRADESH,4.8,691.0,"Q876+F7 Visakhapatnam, Andhra Pradesh",17.7636875,83.3081179,3.0342278120405335
Apple Hospital,West Godavari,ANDHRA PRADESH,4.6,1586.0,"QM3F+RR Tanuku, Andhra Pradesh",16.7545625,81.6719929,3.282343345950183
Sowbhagya Hospital,West Godavari,ANDHRA PRADESH,3.4,5.0,,16.4384375,81.7012429,0.5336471700838007
"Sri Lakshmi Satyanarayana Orthopedic 
Hospital",West Godavari,ANDHRA PRADESH,4.1,8.0,"CPQ3+9G Narsapur, Andhra Pradesh",16.4384375,81.7012429,0.8219419439888024
Vijaya Hospital.,West Godavari,ANDHRA PRADESH,2.3,18.0,"CMQX+7Q Narsapur, Andhra Pradesh",16.4384375,81.7012429,0.600884167748866
MF Hospital And Research Centre,DIBRUGARH,ASSAM,4.6,95.0,,26.2076875,91.6751179,2.006833107312699
