Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code,Latitude,Longitude
Vidyasagar Hospital,KADAPA,ANDHRA PRADESH,4.9,1889.0,"FR7G+28 Kadapa, Andhra Pradesh",14.4621875,78.8216179
Suraksha Super Speciality Hospital,KADAPA,ANDHRA PRADESH,3.3,57.0,"FR9J+CR Kadapa, Andhra Pradesh",14.4625625,78.8232429
Sri Srinivasa Hospital,KADAPA,ANDHRA PRADESH,3.4,78.0,"FRFF+36 Kadapa, Andhra Pradesh",14.4685625,78.8294929
Kadapa Hospitals,KADAPA,ANDHRA PRADESH,2.9,114.0,"FRGF+2H Kadapa, Andhra Pradesh",14.4750625,78.8213679
Hope International Hospital,Kakinada,ANDHRA PRADESH,4.8,5899.0,"26FJ+PW Kakinada, Andhra Pradesh",17.0243125,82.2297429
"Trust Hospital - A Unit Of Sarvottam 
Healthcare Pvt Ltd",KAKINADA,ANDHRA PRADESH,4.8,1841.0,"X6XH+97 Kakinada, Andhra Pradesh",,
"Omni Hospital (A Unit Of Incor 
Padmachandra Hospitals Pvt Ltd)",Kurnool,ANDHRA PRADESH,4.7,1584.0,"R2FR+CJ Kurnool, Andhra Pradesh",15.8235625,78.0389929
Omega Hospital,KURNOOL,ANDHRA PRADESH,3.6,414.0,"Q3W7+5F Kurnool, Andhra Pradesh",15.7954375,78.0611179
Agraseni Hospital,KURNOOL,ANDHRA PRADESH,3.2,84.0,"R27R+VQ Kurnool, Andhra Pradesh",,
GNR Hospital,KURNOOL,ANDHRA PRADESH,4.2,100.0,"R27Q+33 Kurnool, Andhra Pradesh",,
Kims Rainbow Hospital Pvt Ltd,KURNOOL,ANDHRA PRADESH,4.7,7615.0,"R374+7R Kurnool, Andhra Pradesh",,
Sai Vani Hospital,NANDYAL,ANDHRA PRADESH,3.4,52.0,"FFPG+CG Nandyala, Andhra Pradesh",15.4860625,78.4737429
Sree Sai Multispecialty Hospital,NANDYAL,ANDHRA PRADESH,3.4,25.0,"FFMP+WX Nandyala, Andhra Pradesh",15.4860625,78.4737429
Santhiram General Hospital,Nandyal,ANDHRA PRADESH,3.7,232.0,"FCV8+2X Nandyala, Andhra Pradesh",,
Sri Narmada Hospital,NANDYAL,ANDHRA PRADESH,4.1,26.0,"FFPR+C8 Nandyala, Andhra Pradesh",15.4860625,78.4882429
Maruthi Hospital,NELAMANGALA,ANDHRA PRADESH,4.0,73.0,"5C8X+RJ Nellimarla, Andhra Pradesh",18.1670625,83.4464929
Vijaya Krishna Hospital Pvt Ltd,NELLORE,ANDHRA PRADESH,3.5,66.0,"CXXM+J7 Nellore, Andhra Pradesh",14.4490625,79.9806179
RSR Hospital,NELLORE,ANDHRA PRADESH,3.9,67.0,"CXXM+FW Nellore, Andhra Pradesh",14.4486875,79.9822429
Rudra Multi Speciality Hospital,NELLORE,ANDHRA PRADESH,4.9,105.0,"FX2M+6V Nellore, Andhra Pradesh",14.4486875,79.9822429
KBR Orthopedic Hospital,NELLORE,ANDHRA PRADESH,3.9,21.0,"FX3P+26 Nellore, Andhra Pradesh",14.4525625,79.9829929
Simhapuri Hospitals,NELLORE,ANDHRA PRADESH,4.5,20.0,"CXPX+MP Nellore, Andhra Pradesh",14.4366875,79.9967429
Apollo Hospital Nellore,Nellore,ANDHRA PRADESH,4.9,13062.0,"CXQV+82 Nellore, Andhra Pradesh",14.4366875,79.9967429
"Kidz Rainbow Children And Baby Hospital Ramesh Reddy Nagar,Near Rtc Bus Stand.,,",Nellore,ANDHRA PRADESH,4.1,90.0,,,
Lotus Hospital(Nellore),Nellore,ANDHRA PRADESH,4.7,1845.0,"CXXM+CV Nellore, Andhra Pradesh",14.4383125,79.9899929
Mydhili Hospital,Nellore,ANDHRA PRADESH,4.0,151.0,"4VW2+32 Gudur, Andhra Pradesh",14.1451875,79.8474929
"Rainbow Super Speciality 
Hospital(Nellore)",Nellore,ANDHRA PRADESH,3.6,132.0,,,
"Sai Suresh Children Surgical And 
Meternity Hospital",Nellore,ANDHRA PRADESH,4.6,15.0,"CXXP+V2 Nellore, Andhra Pradesh",14.4496875,79.9824929
St. Josephs Hospital.,Nellore,ANDHRA PRADESH,,,,,
Venkataramana Hospital,Nellore,ANDHRA PRADESH,,199.0,"FX2P+P7 Nellore, Andhra Pradesh",14.4518125,79.9831179
Vijaya Care Hospital,Nellore,ANDHRA PRADESH,3.0,29.0,"FX2Q+V4 Nellore, Andhra Pradesh",14.4521875,79.9852429
Reshma Mutilspeciality Hospital(RMH),NELLORE,ANDHRA PRADESH,4.3,82.0,"FX2P+J8 Nellore, Andhra Pradesh",14.4521875,79.9852429
Chaitanya Hospital Ongole,ONGOLE,ANDHRA PRADESH,3.6,35.0,"G26P+W7 Ongole, Andhra Pradesh",15.5123125,80.0331179
Zachariah's Hospital,ONGOLE,ANDHRA PRADESH,4.4,40.0,"F2XV+C9 Ongole, Andhra Pradesh",15.4985625,80.0408679
Srinivasa Hospital,ONGOLE,ANDHRA PRADESH,3.0,54.0,"G26Q+JP Ongole, Andhra Pradesh",15.5115625,80.0367429
Sri Prasanthi Hospital,ONGOLE,ANDHRA PRADESH,4.7,193.0,"G26R+J8 Ongole, Andhra Pradesh",15.5115625,80.0367429
Prasad Multi Speciality Hospital,ONGOLE,ANDHRA PRADESH,3.9,43.0,"F2WX+VC Ongole, Andhra Pradesh",15.4971875,80.0459929
Manasa Mother and Child Hospital,ONGOLE,ANDHRA PRADESH,3.6,103.0,"G26Q+VQ Ongole, Andhra Pradesh",15.5121875,80.0368679
BGR Hospital,PRODDUTUR,ANDHRA PRADESH,4.4,10.0,"PGXX+H2 Proddatur, Andhra Pradesh",14.7489375,78.5449929
Shree Madan Multispecialty Hospital,PRODDUTUR,ANDHRA PRADESH,3.7,36.0,,,
Svr Hospital (Proddatur),PRODDUTUR,ANDHRA PRADESH,3.5,36.0,"QG2X+Q7 Proddatur, Andhra Pradesh",14.7489375,78.5449929
Chandrakala Super Specialty Hospital,RAJAHMUNDRY,ANDHRA PRADESH,4.9,212.0,"2Q4P+W9 Rajamahendravaram, Andhra Pradesh",17.0073125,81.7833679
Kamala Hospital,SRIKAKULAM,ANDHRA PRADESH,3.5,26.0,,,
Mother Vannini Hospital,TADEPALLIGUDEM,ANDHRA PRADESH,4.0,41.0,,,
"Geeta Hospitals(Sri Geeta Health Care 
Pvt Ltd)",TANUKU,ANDHRA PRADESH,3.7,86.0,"QM4G+VX Tanuku, Andhra Pradesh",16.7571875,81.6748679
Sri Aditya Hospital,TANUKU,ANDHRA PRADESH,4.6,37.0,,,
Nisa Hospital,TANUKU,ANDHRA PRADESH,4.4,132.0,"QM4M+F3 Tanuku, Andhra Pradesh",16.7571875,81.6748679
"Gayathri Hospitals ( A Unit Of 
J.D.Hospital Pvt.Ltd )",TIRUPATI,ANDHRA PRADESH,3.9,91.0,"JCPC+QG Tirupati, Andhra Pradesh",13.6369375,79.4187429
"Venkataramana Heart and Maternity 
Hospital",TIRUPATI,ANDHRA PRADESH,4.3,1080.0,"JCPC+42 Tirupati, Andhra Pradesh",13.6369375,79.4187429
Sri Sai Multi Speciality Hospital,TIRUPATI,ANDHRA PRADESH,4.5,92.0,"JCQ7+8M Tirupati, Andhra Pradesh",13.6353125,79.4174929
Gopi Madhavi Hospital,TIRUPATI,ANDHRA PRADESH,4.2,90.0,"JCPC+25 Tirupati, Andhra Pradesh",13.6383125,79.4116179
Care Plus Hospitals,TIRUPATI,ANDHRA PRADESH,4.6,57.0,"JC97+M9 Tirupati, Andhra Pradesh",13.6191875,79.4108679
Suraksha Hospital Tirupati,TIRUPATI,ANDHRA PRADESH,4.2,132.0,"JCRM+X3 Tirupati, Andhra Pradesh",13.6424375,79.4301179
Fortuna Women & Orthocare Hospital,TIRUPATI,ANDHRA PRADESH,3.6,203.0,"JCF6+3H Tirupati, Andhra Pradesh",13.6226875,79.4088679
Elite Multi Specialiy Hospital Pvt Ltd,Tirupati,ANDHRA PRADESH,4.5,343.0,"JCPC+HP Tirupati, Andhra Pradesh",13.6364375,79.4192429
"Sree Ramadevi Multi Super Speciality 
Hospital",Tirupati,ANDHRA PRADESH,4.3,1449.0,"JCQ9+52 Tirupati, Andhra Pradesh",13.6379375,79.4149929
Vidyu Hemanth Hospital Tirupati,Tirupati,ANDHRA PRADESH,4.4,59.0,"JCPC+99 Tirupati, Andhra Pradesh",13.6379375,79.4149929
Amma Children Hospital,TIRUPATI,ANDHRA PRADESH,3.8,133.0,"JCQF+5M Tirupati, Andhra Pradesh",13.6359375,79.4183679
Helios Hospital,TIRUPATI,ANDHRA PRADESH,4.7,1239.0,"JCQF+8G Tirupati, Andhra Pradesh",13.6379375,79.4216179
"Narayanadri Hospital & Research 
Institute PVT LTD",TIRUPATI,ANDHRA PRADESH,4.9,9953.0,"JFH7+9G Tirupati, Andhra Pradesh",13.6284375,79.4612429
Andhra Hospitals,Vijayawada,ANDHRA PRADESH,4.6,2201.0,"GJ6H+CQ Vijayawada, Andhra Pradesh",16.5110625,80.6268679
Anu Hospital,Vijayawada,ANDHRA PRADESH,4.2,819.0,,,
Boppana Superspeciality Hospital,Vijayawada,ANDHRA PRADESH,4.8,6594.0,"FJM8+QQ Vijayawada, Andhra Pradesh",16.4844375,80.6143679
"Gayathri Women And Child Care Hospital 
Pediatric Super Speciality Center",Vijayawada,ANDHRA PRADESH,4.8,6594.0,"FJM8+QQ Vijayawada, Andhra Pradesh",16.4844375,80.6143679
Giridhar Ent Hospital And Laser Centre,Vijayawada,ANDHRA PRADESH,4.3,96.0,"GJ7M+9G Vijayawada, Andhra Pradesh",16.5134375,80.6312429
Kamineni Hospitals,Vijayawada,ANDHRA PRADESH,4.7,4262.0,,,
Liberty Hospitals,Vijayawada,ANDHRA PRADESH,3.6,346.0,"FMQC+XJ Vijayawada, Andhra Pradesh",16.4899375,80.6689929
Life Line Hospital Trimurthy Hospital,Vijayawada,ANDHRA PRADESH,3.7,130.0,"GJ6P+92 Vijayawada, Andhra Pradesh",16.5109375,80.6324929
Mjnaidu Super Speciality Hospital,Vijayawada,ANDHRA PRADESH,4.6,1297.0,"GJ6Q+C6 Vijayawada, Andhra Pradesh",16.5109375,80.6324929
Nori Multi Speciality Hospital,Vijayawada,ANDHRA PRADESH,4.4,944.0,"GJ9J+HG Vijayawada, Andhra Pradesh",16.5189375,80.6287429
Sagar Super Speciality Hospitals.,Vijayawada,ANDHRA PRADESH,5.0,1.0,,,
Sentini Hospitals Pvt Ltd,Vijayawada,ANDHRA PRADESH,4.4,1600.0,"GM57+WX Vijayawada, Andhra Pradesh",16.5098125,80.6623679
Sindhura Hospitals Vijayawada,Vijayawada,ANDHRA PRADESH,3.6,127.0,"GJ7M+38 Vijayawada, Andhra Pradesh",16.5126875,80.6307429
Sri Santhi Hospitals,Vijayawada,ANDHRA PRADESH,3.2,115.0,,,
Vignesh Super Specialities Hospital,Vijayawada,ANDHRA PRADESH,4.8,6594.0,"FJM8+QQ Vijayawada, Andhra Pradesh",16.4844375,80.6143679
Vijaya Super Speciality Hospital,Vijayawada,ANDHRA PRADESH,4.5,1609.0,"GJ7P+FW Vijayawada, Andhra Pradesh",16.5136875,80.6347429
"Vijaywada Multi Speciality Hospital (A 
Unit Of Durgabhavani Hosp Pvt Ltd)",Vijayawada,ANDHRA PRADESH,3.9,89.0,"GHFV+MM Vijayawada, Andhra Pradesh",16.5241875,80.5916179
Vijetha Hospital(Vijayawada),Vijayawada,ANDHRA PRADESH,3.3,4.0,"GJ7P+W3 Vijayawada, Andhra Pradesh",16.5148125,80.6326179
Charithasri Hospital Ltd,VIJAYWADA,ANDHRA PRADESH,4.8,6594.0,"FJM8+QQ Vijayawada, Andhra Pradesh",16.4844375,80.6143679
"Andhra Hospitals (Bhavanipuram) Pvt Ltd D.NO.16-72/1,OPP.HIGH SCHOOL, Gollapudi",VIJAYWADA,ANDHRA PRADESH,4.6,20.0,"GHPM+JV Vijayawada, Andhra Pradesh",16.5365625,80.5821179
Srikara Hospitals,VIJAYWADA,ANDHRA PRADESH,4.7,2035.0,"GP22+V7 Penamaluru, Andhra Pradesh",16.5021875,80.6981179
Vennela Mother And Child Hospital,VIJAYWADA,ANDHRA PRADESH,3.9,70.0,"FMX4+W2 Vijayawada, Andhra Pradesh",,
"Global Multispeciality Hospital (Global 
Medical Center)",VIJAYWADA,ANDHRA PRADESH,3.0,89.0,"GJ69+G8 Vijayawada, Andhra Pradesh",16.5113125,80.6157429
Sunrise Hospital(Vijayawada),VIJAYWADA,ANDHRA PRADESH,2.9,531.0,"GJ7Q+4M Vijayawada, Andhra Pradesh",16.5128125,80.6366179
Time Hospitals Pvt Ltd,VIJAYWADA,ANDHRA PRADESH,5.0,1.0,"FMX3+2X Vijayawada, Andhra Pradesh",16.4975625,80.6523679
Bmr Hospitals,VIJAYWADA,ANDHRA PRADESH,3.7,3.0,,,
Nandan Hospital,VIJAYWADA,ANDHRA PRADESH,4.6,70.0,"GJ6P+7W Vijayawada, Andhra Pradesh",16.5106875,80.6347429
Bharathi Hospital,Visakhapatnam,ANDHRA PRADESH,4.4,208.0,"P865+8C Visakhapatnam, Andhra Pradesh",17.7108125,83.3059929
Annapoorna Hospital,Visakhapatnam,ANDHRA PRADESH,2.8,20.0,"P8G3+XR Visakhapatnam, Andhra Pradesh",17.7274375,83.3019929
Seven Hills Hospitals Ltd,VISAKHAPATNAM,ANDHRA PRADESH,4.1,1893.0,"P885+WP Visakhapatnam, Andhra Pradesh",17.7173125,83.3067429
"Lotus Hospitals For Women And Children #10-59-9, opposite Waltair Club, behind Gothi sons,",VISAKHAPATNAM,ANDHRA PRADESH,4.4,636.0,"P8C7+GX Visakhapatnam, Andhra Pradesh",17.7173125,83.3067429
Usha Prime Molti Speciality Hospital,VISAKHAPATNAM,ANDHRA PRADESH,4.5,892.0,,,
Abc Hospital(Visakhapatnam),Visakhapatnam,ANDHRA PRADESH,3.4,118.0,"P845+FM Visakhapatnam, Andhra Pradesh",17.7061875,83.3066179
"Aditya Multicare 
Hospital(Visakhapatnam)",Visakhapatnam,ANDHRA PRADESH,2.9,68.0,,,
Apollo Hospital (Visakhapatnam),VISAKHAPATNAM,ANDHRA PRADESH,4.8,3804.0,"P885+WM Visakhapatnam, Andhra Pradesh",17.7173125,83.3066179
"Care Hospital( The Institute Of Medical 
Sciences)",Visakhapatnam,ANDHRA PRADESH,4.6,4917.0,"P8C7+44 Visakhapatnam, Andhra Pradesh",17.7173125,83.3066179
Durga Hospital (Kancharapalem),Visakhapatnam,ANDHRA PRADESH,4.0,136.0,"P7PC+9J Visakhapatnam, Andhra Pradesh",17.7359375,83.2689929
Kims Icon Hospital(Icon Krishi Hospital),VISAKHAPATNAM,ANDHRA PRADESH,4.5,24414.0,"P57W+Q7 Visakhapatnam, Andhra Pradesh",17.7144375,83.1931179
Kala Hospital(Visakhapatnam),Visakhapatnam,ANDHRA PRADESH,3.1,137.0,"P8H4+J8 Visakhapatnam, Andhra Pradesh",17.7290625,83.3032429
"Mahatma Gandhi Cancer Hospital And 
Research Institute (Visakhpatnam)",Visakhapatnam,ANDHRA PRADESH,4.9,5864.0,"P8VP+F8 Visakhapatnam, Andhra Pradesh",17.7436875,83.3332429
"Mycure Hospitals Unit Ii (Sahrudaya 
Healthcare Pvt Ltd)",VISAKHAPATNAM,ANDHRA PRADESH,,,,,
Omni Rk Super Hospital,Visakhapatnam,ANDHRA PRADESH,4.0,1700.0,"P896+FJ Visakhapatnam, Andhra Pradesh",17.7186875,83.3089929
Padmaja Hospital (Visakhapatnam),Visakhapatnam,ANDHRA PRADESH,2.9,167.0,"M6P3+MC Visakhapatnam, Andhra Pradesh",17.6866875,83.2009929
Padmasri Hospitals,Visakhapatnam,ANDHRA PRADESH,3.1,136.0,"P8Q3+7F Visakhapatnam, Andhra Pradesh",17.7381875,83.3011179
"Queen'S Nri Hospital ( Chalasani 
Hospitals Pvt Ltd)",Visakhapatnam,ANDHRA PRADESH,4.5,2079.0,"P8R5+75 Visakhapatnam, Andhra Pradesh",17.7381875,83.3011179
Raghavendra Hospital(Vishakhapatnam),Visakhapatnam,ANDHRA PRADESH,4.3,16.0,"P8Q3+WM Visakhapatnam, Andhra Pradesh",,
Sraddha Hospital,Visakhapatnam,ANDHRA PRADESH,3.5,144.0,"P855+6G Visakhapatnam, Andhra Pradesh",,
Susruta Ent Super Hospital,VISAKHAPATNAM,ANDHRA PRADESH,4.6,47.0,"Q875+JJ Visakhapatnam, Andhra Pradesh",17.7640625,83.3064929
Venkatarama Hospital ( Visakhapatnam),Visakhapatnam,ANDHRA PRADESH,4.2,131.0,"P8H3+69 Visakhapatnam, Andhra Pradesh",17.7280625,83.3008679
Ramsaranya Hospitals Pvt Ltd,VISAKHAPATNAM,ANDHRA PRADESH,3.4,17.0,"P856+V4 Visakhapatnam, Andhra Pradesh",17.7096875,83.3077429
MB Multispeciality Hospital,VISAKHAPATNAM,ANDHRA PRADESH,4.8,691.0,"Q876+F7 Visakhapatnam, Andhra Pradesh",17.7636875,83.3081179
Apple Hospital,West Godavari,ANDHRA PRADESH,4.6,1586.0,"QM3F+RR Tanuku, Andhra Pradesh",16.7545625,81.6719929
Sowbhagya Hospital,West Godavari,ANDHRA PRADESH,3.4,5.0,,,
"Sri Lakshmi Satyanarayana Orthopedic 
Hospital",West Godavari,ANDHRA PRADESH,4.1,8.0,"CPQ3+9G Narsapur, Andhra Pradesh",16.4384375,81.7012429
Vijaya Hospital.,West Godavari,ANDHRA PRADESH,2.3,18.0,"CMQX+7Q Narsapur, Andhra Pradesh",16.4384375,81.7012429
MF Hospital And Research Centre,DIBRUGARH,ASSAM,4.6,95.0,,,
Plexus Hospitals Pvt Ltd,DIBRUGARH,ASSAM,3.5,6.0,,,
Narayana Superspeciality Hospital,Guwahati,ASSAM,4.8,6491.0,"6M5H+33 Guwahati, Assam",26.2076875,91.6751179
Asg Hospital Pvt Ltd (Guwahati),Guwahati,ASSAM,4.9,4024.0,"5PHX+Q3 Guwahati, Assam",26.1794375,91.7451179
Sparsh Hospital(Assam),GUWAHATI,ASSAM,4.8,92.0,"5Q8C+PC Guwahati, Assam",26.1668125,91.7684929
Paras Global Hospital,DARBHANGA,BIHAR,3.5,678.0,"4WP5+H8 Darbhanga, Bihar",26.1364375,85.9057429
Asg Hospital Pvt Ltd (Hajipur),Hajipur,BIHAR,4.8,1780.0,"P634+25 Hajipur, Bihar",25.7025625,85.2028679
Asg Hospital Pvt Ltd Muzaffarpur,MUZFFARPUR,BIHAR,4.7,2770.0,"498W+PV Muzaffarpur, Bihar",26.1168125,85.3946179
"Ruban Memorial Hospital( Ratan Stone 
Clinic)",Patna,BIHAR,3.4,2330.0,"J4H6+3P Patna, Bihar",25.6276875,85.1092429
Sahyog Hospital (Patna),Patna,BIHAR,4.2,919.0,"J4H5+M8 Patna, Bihar",25.6276875,85.1092429
Paras HMRI Hospital,PATNA,BIHAR,3.8,6543.0,"J34M+72 Patna, Bihar",25.6056875,85.0799929
Bishnupur Multispeciality Hospital,PATNA,BIHAR,3.0,2.0,"H5X4+XF Patna, Bihar",25.5999375,85.1536179
"Dr Bimal Hospital & Research Centre pvt 
Ltd",PATNA,BIHAR,4.4,1494.0,"J2CV+29 Patna, Bihar",25.6200625,85.0408679
Big Hospital,PATNA,BIHAR,4.6,11647.0,"H5QW+49 Patna, Bihar",25.5878125,85.1933679
Medipark Hospital,PATNA,BIHAR,3.8,370.0,"J4J5+3G Patna, Bihar",25.6301875,85.1062429
Max Seven Hospital Pvt Ltd,PURNEA,BIHAR,3.0,275.0,"VGFP+QR Kasba, Bihar",25.8744375,87.5344929
Dharam Hospital,Chandigarh,CHANDIGARH,4.0,207.0,PQXF+MJ Chandigarh,30.7491875,76.7714929
Landmark Hospital,CHANDIGARH,CHANDIGARH,4.0,579.0,PQ6C+W5 Chandigarh,30.7123125,76.7678679
Mukat Hospital Heart Institute,CHANDIGARH,CHANDIGARH,4.5,1545.0,PQFC+44 Chandigarh,30.7228125,76.7677429
"Healing Hospital And Institute Of 
Paramedical Sciences",CHANDIGARH,CHANDIGARH,4.5,136.0,PQF9+JQ Chandigarh,30.7240625,76.7668679
"NH MMI Narayana Multispeciality 
Hospital",RAIPUR,CHATTISGARH,4.9,24035.0,"6M75+75 Raipur, Chhattisgarh",21.2131875,81.6553679
Om Hospital,RAIPUR,CHATTISGARH,,239.0,"6HHX+MC Raipur, Chhattisgarh",21.2291875,81.5959929
Ramkrishna Care Hospital(Raipur),Raipur,CHATTISGARH,4.4,6407.0,"6M73+7F Raipur, Chhattisgarh",21.2131875,81.6511179
"Suyash Hospital, Raipur",Raipur,CHATTISGARH,4.6,6846.0,"7J54+99 Raipur, Chhattisgarh",21.2584375,81.6033679
Shri Balaji Multi Specialty Hospital,RAIPUR,CHATTISGARH,3.9,1299.0,"7MFF+4F Raipur, Chhattisgarh",21.2728125,81.6711179
Banthia Super Speciality Hospital,RAIPUR,CHATTISGARH,2.7,31.0,"6JWW+9W Raipur, Chhattisgarh",21.2459375,81.6447429
"Aarogya Hospital And Research Center 
Pvt Ltc.",RAIPUR,CHATTISGARH,4.1,330.0,"7M36+WW Raipur, Chhattisgarh",21.2459375,81.6447429
