Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code,Latitude,Longitude,Effective Rating,Radius of Influence
Sree Sai Multispecialty Hospital,NANDYAL,ANDHRA PRADESH,3.4,25.0,"FFMP+WX Nandyala, Andhra Pradesh",15.514889654516594,78.49942338658286,1.0264428426707597,0.10264428426707597
Santhiram General Hospital,Nandyal,ANDHRA PRADESH,3.7,232.0,"FCV8+2X Nandyala, Andhra Pradesh",15.48727483242105,78.4296866823078,1.9250726398836195,0.19250726398836196
Sri Narmada Hospital,NANDYAL,ANDHRA PRADESH,4.1,26.0,"FFPR+C8 Nandyala, Andhra Pradesh",15.389756601796673,78.4469496045302,1.2671699390578404,0.12671699390578403
Maruthi Hospital,NELAMANGALA,ANDHRA PRADESH,4.0,73.0,"5C8X+RJ Nellimarla, Andhra Pradesh",18.1670625,83.4464929,1.6332250516685864,0.16332250516685864
Vijaya Krishna Hospital Pvt Ltd,NELLORE,ANDHRA PRADESH,3.5,66.0,"CXXM+J7 Nellore, Andhra Pradesh",14.410310751497175,80.00197981156052,1.3861290554429464,0.13861290554429465
RSR Hospital,NELLORE,ANDHRA PRADESH,3.9,67.0,"CXXM+FW Nellore, Andhra Pradesh",14.530603915925035,79.95286473075723,1.5580851229966437,0.1558085122996644
Rudra Multi Speciality Hospital,NELLORE,ANDHRA PRADESH,4.9,105.0,"FX2M+6V Nellore, Andhra Pradesh",14.442023929923685,79.95349572002995,2.190175511162397,0.2190175511162397
KBR Orthopedic Hospital,NELLORE,ANDHRA PRADESH,3.9,21.0,"FX3P+26 Nellore, Andhra Pradesh",14.417458910672469,79.92314950582002,1.1230673983542263,0.11230673983542264
Simhapuri Hospitals,NELLORE,ANDHRA PRADESH,4.5,20.0,"CXPX+MP Nellore, Andhra Pradesh",14.5000445864409,79.94529820442895,1.2856954275800798,0.128569542758008
Apollo Hospital Nellore,Nellore,ANDHRA PRADESH,4.9,13062.0,"CXQV+82 Nellore, Andhra Pradesh",14.43669262995099,79.9928041986446,4.521836150217474,0.4521836150217475
"Kidz Rainbow Children And Baby Hospital Ramesh Reddy Nagar,Near Rtc Bus Stand.,,",Nellore,ANDHRA PRADESH,4.1,90.0,,14.471349234463815,79.97068964116961,1.7595748573158618,0.1759574857315862
Lotus Hospital(Nellore),Nellore,ANDHRA PRADESH,4.7,1845.0,"CXXM+CV Nellore, Andhra Pradesh",14.456045577253153,79.9838487933919,3.42541990194744,0.342541990194744
Mydhili Hospital,Nellore,ANDHRA PRADESH,4.0,151.0,"4VW2+32 Gudur, Andhra Pradesh",14.130460407170151,79.88333900810004,1.9178253144213848,0.1917825314421385
"Rainbow Super Speciality 
Hospital(Nellore)",Nellore,ANDHRA PRADESH,3.6,132.0,,14.378376542779534,79.9891380609805,1.6716753608262462,0.16716753608262463
"Sai Suresh Children Surgical And 
Meternity Hospital",Nellore,ANDHRA PRADESH,4.6,15.0,"CXXP+V2 Nellore, Andhra Pradesh",14.47063612237027,79.97359550436475,1.192144402997363,0.1192144402997363
St. Josephs Hospital.,Nellore,ANDHRA PRADESH,4.1,228.5,,14.442501647978677,79.9789955769064,2.134461682575174,0.21344616825751742
Venkataramana Hospital,Nellore,ANDHRA PRADESH,4.1,199.0,"FX2P+P7 Nellore, Andhra Pradesh",14.42941602207874,79.9910566053979,2.0787031684037385,0.20787031684037385
Vijaya Care Hospital,Nellore,ANDHRA PRADESH,3.0,29.0,"FX2Q+V4 Nellore, Andhra Pradesh",14.460074264769023,80.00368004755758,0.940058740001604,0.09400587400016042
Reshma Mutilspeciality Hospital(RMH),NELLORE,ANDHRA PRADESH,4.3,82.0,"FX2P+J8 Nellore, Andhra Pradesh",14.45578580899101,79.92091253084178,1.809638860802521,0.1809638860802521
Chaitanya Hospital Ongole,ONGOLE,ANDHRA PRADESH,3.6,35.0,"G26P+W7 Ongole, Andhra Pradesh",15.50592427373531,80.03080159392952,1.2066508823442958,0.12066508823442959
Zachariah's Hospital,ONGOLE,ANDHRA PRADESH,4.4,40.0,"F2XV+C9 Ongole, Andhra Pradesh",15.497340729114214,80.03480417706339,1.5465832411334903,0.15465832411334904
Srinivasa Hospital,ONGOLE,ANDHRA PRADESH,3.0,54.0,"G26Q+JP Ongole, Andhra Pradesh",15.622570449314928,79.99142191394283,1.1197989925046676,0.11197989925046677
Sri Prasanthi Hospital,ONGOLE,ANDHRA PRADESH,4.7,193.0,"G26R+J8 Ongole, Andhra Pradesh",15.520991705551506,80.03092807425688,2.378779616091041,0.23787796160910413
Prasad Multi Speciality Hospital,ONGOLE,ANDHRA PRADESH,3.9,43.0,"F2WX+VC Ongole, Andhra Pradesh",15.556692014821657,80.05001988773634,1.3902721783363938,0.1390272178336394
Manasa Mother and Child Hospital,ONGOLE,ANDHRA PRADESH,3.6,103.0,"G26Q+VQ Ongole, Andhra Pradesh",15.512155796830662,80.05025315468981,1.5841532036996502,0.15841532036996503
BGR Hospital,PRODDUTUR,ANDHRA PRADESH,4.4,10.0,"PGXX+H2 Proddatur, Andhra Pradesh",14.70350719098175,78.54262760917568,0.9743724471568452,0.09743724471568453
Shree Madan Multispecialty Hospital,PRODDUTUR,ANDHRA PRADESH,3.7,36.0,,14.795061323780608,78.51921981549705,1.2520926485799335,0.12520926485799336
Svr Hospital (Proddatur),PRODDUTUR,ANDHRA PRADESH,3.5,36.0,"QG2X+Q7 Proddatur, Andhra Pradesh",14.745297847268635,78.51729858922384,1.1807085029188955,0.11807085029188956
Chandrakala Super Specialty Hospital,RAJAHMUNDRY,ANDHRA PRADESH,4.9,212.0,"2Q4P+W9 Rajamahendravaram, Andhra Pradesh",17.028181883282425,81.81210307578621,2.528173588020511,0.25281735880205114
Kamala Hospital,SRIKAKULAM,ANDHRA PRADESH,3.5,26.0,,16.580504256552313,81.70734518769693,1.071703990003141,0.10717039900031411
Mother Vannini Hospital,TADEPALLIGUDEM,ANDHRA PRADESH,4.0,41.0,,16.826144322733317,81.77596877192055,1.409283892873913,0.14092838928739132
"Geeta Hospitals(Sri Geeta Health Care 
Pvt Ltd)",TANUKU,ANDHRA PRADESH,3.7,86.0,"QM4G+VX Tanuku, Andhra Pradesh",16.815795444837967,81.6797409051013,1.5647848274941747,0.15647848274941747
Sri Aditya Hospital,TANUKU,ANDHRA PRADESH,4.6,37.0,,16.746191776714536,81.7246141001579,1.5854469939336653,0.15854469939336654
Nisa Hospital,TANUKU,ANDHRA PRADESH,4.4,132.0,"QM4M+F3 Tanuku, Andhra Pradesh",16.762792264860575,81.67061553653826,2.0583841179319173,0.20583841179319173
"Gayathri Hospitals ( A Unit Of 
J.D.Hospital Pvt.Ltd )",TIRUPATI,ANDHRA PRADESH,3.9,91.0,"JCPC+QG Tirupati, Andhra Pradesh",13.595494866272436,79.40312800341576,1.674612891018979,0.16746128910189792
"Venkataramana Heart and Maternity 
Hospital",TIRUPATI,ANDHRA PRADESH,4.3,1080.0,"JCPC+42 Tirupati, Andhra Pradesh",13.634939344525272,79.42737863304455,2.900613978874756,0.2900613978874756
Sri Sai Multi Speciality Hospital,TIRUPATI,ANDHRA PRADESH,4.5,92.0,"JCQ7+8M Tirupati, Andhra Pradesh",13.616664487787382,79.41373341935443,1.947594982378312,0.19475949823783123
Gopi Madhavi Hospital,TIRUPATI,ANDHRA PRADESH,4.2,90.0,"JCPC+25 Tirupati, Andhra Pradesh",13.621316502868417,79.40268717421604,1.8041623915467195,0.18041623915467198
Care Plus Hospitals,TIRUPATI,ANDHRA PRADESH,4.6,57.0,"JC97+M9 Tirupati, Andhra Pradesh",13.626769326653868,79.34083407059133,1.7777142629627252,0.17777142629627252
Suraksha Hospital Tirupati,TIRUPATI,ANDHRA PRADESH,4.2,132.0,"JCRM+X3 Tirupati, Andhra Pradesh",13.664737526641154,79.44644016229505,1.9617069286555,0.19617069286555
Fortuna Women & Orthocare Hospital,TIRUPATI,ANDHRA PRADESH,3.6,203.0,"JCF6+3H Tirupati, Andhra Pradesh",13.608188064858151,79.3799867758066,1.8238940080948187,0.18238940080948188
Elite Multi Specialiy Hospital Pvt Ltd,Tirupati,ANDHRA PRADESH,4.5,343.0,"JCPC+HP Tirupati, Andhra Pradesh",13.640461036155298,79.44457309964778,2.529414669064188,0.25294146690641883
"Sree Ramadevi Multi Super Speciality 
Hospital",Tirupati,ANDHRA PRADESH,4.3,1449.0,"JCQ9+52 Tirupati, Andhra Pradesh",13.629339334640957,79.39382699525872,3.0254363912665125,0.3025436391266513
Vidyu Hemanth Hospital Tirupati,Tirupati,ANDHRA PRADESH,4.4,59.0,"JCPC+99 Tirupati, Andhra Pradesh",13.561225705555337,79.36541006259053,1.7121878432621518,0.17121878432621518
Amma Children Hospital,TIRUPATI,ANDHRA PRADESH,3.8,133.0,"JCQF+5M Tirupati, Andhra Pradesh",13.639744504079292,79.40858656089063,1.771166125232377,0.1771166125232377
Helios Hospital,TIRUPATI,ANDHRA PRADESH,4.7,1239.0,"JCQF+8G Tirupati, Andhra Pradesh",13.641819170632253,79.42144215430585,3.2405626040223208,0.3240562604022321
"Narayanadri Hospital & Research 
Institute PVT LTD",TIRUPATI,ANDHRA PRADESH,4.9,9953.0,"JFH7+9G Tirupati, Andhra Pradesh",13.630097389654527,79.4509831413769,4.390188052326586,0.4390188052326586
Andhra Hospitals,Vijayawada,ANDHRA PRADESH,4.6,2201.0,"GJ6H+CQ Vijayawada, Andhra Pradesh",16.510485151288297,80.59290771939907,3.4312625146167584,0.34312625146167586
Anu Hospital,Vijayawada,ANDHRA PRADESH,4.2,819.0,,16.4931736869628,80.5834832962945,2.716843408052396,0.2716843408052396
Boppana Superspeciality Hospital,Vijayawada,ANDHRA PRADESH,4.8,6594.0,"FJM8+QQ Vijayawada, Andhra Pradesh",16.47325813727966,80.60520535572579,4.103878544445022,0.41038785444450226
"Gayathri Women And Child Care Hospital 
Pediatric Super Speciality Center",Vijayawada,ANDHRA PRADESH,4.8,6594.0,"FJM8+QQ Vijayawada, Andhra Pradesh",16.49614400981399,80.58969706764677,4.103878544445022,0.41038785444450226
Giridhar Ent Hospital And Laser Centre,Vijayawada,ANDHRA PRADESH,4.3,96.0,"GJ7M+9G Vijayawada, Andhra Pradesh",16.467543272911264,80.65036148357943,1.875888905969137,0.18758889059691372
Kamineni Hospitals,Vijayawada,ANDHRA PRADESH,4.7,4262.0,,16.491734702981407,80.66795144861761,3.8142434555660247,0.3814243455566025
Liberty Hospitals,Vijayawada,ANDHRA PRADESH,3.6,346.0,"FMQC+XJ Vijayawada, Andhra Pradesh",16.525618629661558,80.61319055790234,2.01291874180471,0.201291874180471
Life Line Hospital Trimurthy Hospital,Vijayawada,ANDHRA PRADESH,3.7,130.0,"GJ6P+92 Vijayawada, Andhra Pradesh",16.51998518625105,80.63033904706388,1.7144725458751169,0.1714472545875117
Mjnaidu Super Speciality Hospital,Vijayawada,ANDHRA PRADESH,4.6,1297.0,"GJ6Q+C6 Vijayawada, Andhra Pradesh",16.502710180198143,80.66426228359472,3.190941906830353,0.31909419068303535
Nori Multi Speciality Hospital,Vijayawada,ANDHRA PRADESH,4.4,944.0,"GJ9J+HG Vijayawada, Andhra Pradesh",16.50198909810127,80.62938333737694,2.911185820262065,0.2911185820262065
Sagar Super Speciality Hospitals.,Vijayawada,ANDHRA PRADESH,5.0,1.0,,16.39566000673991,80.53196827166262,0.2740561845970949,0.027405618459709492
Sentini Hospitals Pvt Ltd,Vijayawada,ANDHRA PRADESH,4.4,1600.0,"GM57+WX Vijayawada, Andhra Pradesh",16.539703008476824,80.67391463565193,3.1404737707932857,0.3140473770793286
Sindhura Hospitals Vijayawada,Vijayawada,ANDHRA PRADESH,3.6,127.0,"GJ7M+38 Vijayawada, Andhra Pradesh",16.46347418664767,80.68094646041104,1.6580399168124242,0.16580399168124244
Sri Santhi Hospitals,Vijayawada,ANDHRA PRADESH,3.2,115.0,,16.538526063401623,80.59906437555853,1.4350636383019668,0.1435063638301967
Vignesh Super Specialities Hospital,Vijayawada,ANDHRA PRADESH,4.8,6594.0,"FJM8+QQ Vijayawada, Andhra Pradesh",16.490882102643873,80.60690639875773,4.103878544445022,0.41038785444450226
Vijaya Super Speciality Hospital,Vijayawada,ANDHRA PRADESH,4.5,1609.0,"GJ7P+FW Vijayawada, Andhra Pradesh",16.503732515539028,80.64407195911981,3.2158987583066496,0.321589875830665
"Vijaywada Multi Speciality Hospital (A 
Unit Of Durgabhavani Hosp Pvt Ltd)",Vijayawada,ANDHRA PRADESH,3.9,89.0,"GHFV+MM Vijayawada, Andhra Pradesh",16.551859470943207,80.73015999389806,1.66614013213205,0.16661401321320501
Vijetha Hospital(Vijayawada),Vijayawada,ANDHRA PRADESH,3.3,4.0,"GJ7P+W3 Vijayawada, Andhra Pradesh",16.22501820029611,80.72225660863606,0.4564654263904724,0.045646542639047244
Charithasri Hospital Ltd,VIJAYWADA,ANDHRA PRADESH,4.8,6594.0,"FJM8+QQ Vijayawada, Andhra Pradesh",16.5063708257186,80.60547561186917,4.103878544445022,0.41038785444450226
"Andhra Hospitals (Bhavanipuram) Pvt Ltd D.NO.16-72/1,OPP.HIGH SCHOOL, Gollapudi",VIJAYWADA,ANDHRA PRADESH,4.6,20.0,"GHPM+JV Vijayawada, Andhra Pradesh",16.57496946794992,80.5339256079703,1.3157889714407325,0.13157889714407325
Srikara Hospitals,VIJAYWADA,ANDHRA PRADESH,4.7,2035.0,"GP22+V7 Penamaluru, Andhra Pradesh",16.51056210462941,80.69476758725568,3.470932038410795,0.3470932038410795
Vennela Mother And Child Hospital,VIJAYWADA,ANDHRA PRADESH,3.9,70.0,"FMX4+W2 Vijayawada, Andhra Pradesh",16.489032683982018,80.5925762541472,1.5747277798639432,0.15747277798639434
"Global Multispeciality Hospital (Global 
Medical Center)",VIJAYWADA,ANDHRA PRADESH,3.0,89.0,"GJ69+G8 Vijayawada, Andhra Pradesh",16.501845791909652,80.80125722148372,1.265835321759437,0.1265835321759437
Sunrise Hospital(Vijayawada),VIJAYWADA,ANDHRA PRADESH,2.9,531.0,"GJ7Q+4M Vijayawada, Andhra Pradesh",16.52557298382739,80.62671607419266,1.730686666024572,0.17306866660245723
Time Hospitals Pvt Ltd,VIJAYWADA,ANDHRA PRADESH,5.0,1.0,"FMX3+2X Vijayawada, Andhra Pradesh",16.655084650826634,80.77154243353077,0.2740561845970949,0.027405618459709492
Bmr Hospitals,VIJAYWADA,ANDHRA PRADESH,3.7,3.0,,16.385556695409537,80.40528360976532,0.4384898953553518,0.043848989535535184
Nandan Hospital,VIJAYWADA,ANDHRA PRADESH,4.6,70.0,"GJ6P+7W Vijayawada, Andhra Pradesh",16.522763750860335,80.63159672160208,1.869668620430418,0.1869668620430418
Bharathi Hospital,Visakhapatnam,ANDHRA PRADESH,4.4,208.0,"P865+8C Visakhapatnam, Andhra Pradesh",17.667822292413955,83.33556687867267,2.254960334614157,0.2254960334614157
Annapoorna Hospital,Visakhapatnam,ANDHRA PRADESH,2.8,20.0,"P8G3+XR Visakhapatnam, Andhra Pradesh",17.913677111784963,83.57976711461774,0.7741051819489906,0.07741051819489907
Seven Hills Hospitals Ltd,VISAKHAPATNAM,ANDHRA PRADESH,4.1,1893.0,"P885+WP Visakhapatnam, Andhra Pradesh",17.723589252087592,83.3044705107623,2.98978885016138,0.298978885016138
"Lotus Hospitals For Women And Children #10-59-9, opposite Waltair Club, behind Gothi sons,",VISAKHAPATNAM,ANDHRA PRADESH,4.4,636.0,"P8C7+GX Visakhapatnam, Andhra Pradesh",17.720664513140477,83.31476180614747,2.739647736632313,0.2739647736632313
Usha Prime Molti Speciality Hospital,VISAKHAPATNAM,ANDHRA PRADESH,4.5,892.0,,17.712577776448352,83.29666865995605,2.953731217635895,0.2953731217635895
Abc Hospital(Visakhapatnam),Visakhapatnam,ANDHRA PRADESH,3.4,118.0,"P845+FM Visakhapatnam, Andhra Pradesh",17.73562872311609,83.29119067859388,1.5376182860995096,0.15376182860995097
"Aditya Multicare 
Hospital(Visakhapatnam)",Visakhapatnam,ANDHRA PRADESH,2.9,68.0,,17.588223794310938,83.23512654745976,1.1451931608041597,0.11451931608041598
Apollo Hospital (Visakhapatnam),VISAKHAPATNAM,ANDHRA PRADESH,4.8,3804.0,"P885+WM Visakhapatnam, Andhra Pradesh",17.723993917549137,83.28022134372048,3.842930070625971,0.3842930070625971
"Care Hospital( The Institute Of Medical 
Sciences)",Visakhapatnam,ANDHRA PRADESH,4.6,4917.0,"P8C7+44 Visakhapatnam, Andhra Pradesh",17.72872304458137,83.28788096076755,3.7966193814061353,0.37966193814061355
