,Hospital Name,CITY,STATE,Rating,Number of Reviews,Plus Code,Latitude,Longitude,Effective Rating,density
27,Dhulipalla Hospital,Guntur,ANDHRA PRADESH,2.6,30.0,"8F22+32 Guntur, Andhra Pradesh",16.3001875,80.4474929,0.8140092439209872,855.9
28,Health Hospitals,GUNTUR,ANDHRA PRADESH,4.8,19688.0,"7CVV+72 Guntur, Andhra Pradesh",16.2931875,80.4399929,4.622813338113168,855.9
29,Hyma Hospital,Guntur,ANDHRA PRADESH,3.2,161.0,"8C59+5H5 Guntur, Andhra Pradesh",16.3078875,80.4164148,1.5407109836951554,855.9
30,J K Hospital ( Guntur ),Guntur,ANDHRA PRADESH,5.0,2.0,"8C7V+G3 Guntur, Andhra Pradesh",16.3138125,80.4401179,0.4744469234471142,855.9
31,"Karumuri Super Speciality Hospital (P) 
Ltd.",Guntur,ANDHRA PRADESH,2.7,168.0,"7FX3+CG Guntur, Andhra Pradesh",16.2985625,80.4512429,1.3005592810058773,855.9
32,Lakshmi Srinivasa Hospital,Guntur,ANDHRA PRADESH,4.3,28.0,"7FX4+CW Guntur, Andhra Pradesh",16.2985625,80.4547429,1.3626976704483265,855.9
33,Lalitha Super Speciality Hospital,GUNTUR,ANDHRA PRADESH,4.4,2171.0,"7CWX+5X Guntur, Andhra Pradesh",16.2954375,80.4473679,3.2731322769774183,855.9
34,M N Hospital,Guntur,ANDHRA PRADESH,2.4,76.0,"8C2M+XH Guntur, Andhra Pradesh",16.3024375,80.4313679,0.9619569192670891,855.9
35,"Mother Teresa Orthopaedic And Accident 
Care Hospital",Guntur,ANDHRA PRADESH,3.9,9.0,,16.2995875,80.4532273,0.8191210195616849,855.9
36,Sree Prathima Super Speciality Hospital,Guntur,ANDHRA PRADESH,4.5,479.0,"7FX4+R8M Guntur, Andhra Pradesh",16.2995875,80.4532273,2.6775979637639704,855.9
37,Star Hospital,Guntur,ANDHRA PRADESH,4.0,45.0,"7FX3+PF Guntur, Andhra Pradesh",16.3104622,80.4516392,1.4452522689133775,855.9
38,V Cardiac And Multi Speciality Hospital,Guntur,ANDHRA PRADESH,5.0,11.0,"7CWX+QV Guntur, Andhra Pradesh",16.2969375,80.4471179,1.1595873849398517,855.9
39,Varababu Super Specialty Hospital,GUNTUR,ANDHRA PRADESH,3.2,13.0,"62HW+6J Narasaraopeta, Andhra Pradesh",16.2280625,80.0439929,0.7662292845275877,855.9
40,Omega Hospital,GUNTUR,ANDHRA PRADESH,4.1,439.0,"8F8C+GR Guntur, Andhra Pradesh",16.3163125,80.4694929,2.3982365409805126,855.9
41,Blossoms Childrens Hospital,GUNTUR,ANDHRA PRADESH,4.5,859.0,"7FX2+HJ Guntur, Andhra Pradesh",16.2989375,80.4489929,2.936982560310293,855.9
42,Lahiri Hospital,GUNTUR,ANDHRA PRADESH,2.8,32.0,,14.4608125,78.8211179,0.8991991380195063,855.9
43,Bharathi Hospital,KADAPA,ANDHRA PRADESH,4.0,143.0,"FR6F+8F Kadapa, Andhra Pradesh",14.4608125,78.8211179,1.896448243593327,183.532
44,Mrudula Hospital,KADAPA,ANDHRA PRADESH,3.7,180.0,"FR6F+VM Kadapa, Andhra Pradesh",14.4621875,78.8216179,1.8327116665649468,183.532
45,Vidyasagar Hospital,KADAPA,ANDHRA PRADESH,4.9,1889.0,"FR7G+28 Kadapa, Andhra Pradesh",14.4621875,78.8216179,3.5855069039402503,183.532
46,Suraksha Super Speciality Hospital,KADAPA,ANDHRA PRADESH,3.3,57.0,"FR9J+CR Kadapa, Andhra Pradesh",14.4625625,78.8232429,1.2559540886484646,183.532
47,Sri Srinivasa Hospital,KADAPA,ANDHRA PRADESH,3.4,78.0,"FRFF+36 Kadapa, Andhra Pradesh",14.4685625,78.8294929,1.3999375391754578,183.532
48,Kadapa Hospitals,KADAPA,ANDHRA PRADESH,2.9,114.0,"FRGF+2H Kadapa, Andhra Pradesh",14.4750625,78.8213679,1.2916213955186375,183.532
49,Hope International Hospital,Kakinada,ANDHRA PRADESH,4.8,5899.0,"26FJ+PW Kakinada, Andhra Pradesh",17.0243125,82.2297429,4.051043459254141,693.04
50,"Trust Hospital - A Unit Of Sarvottam 
Healthcare Pvt Ltd",KAKINADA,ANDHRA PRADESH,4.8,1841.0,"X6XH+97 Kakinada, Andhra Pradesh",15.8235625,78.0389929,3.498729734301544,693.04
51,"Omni Hospital (A Unit Of Incor 
Padmachandra Hospitals Pvt Ltd)",Kurnool,ANDHRA PRADESH,4.7,1584.0,"R2FR+CJ Kurnool, Andhra Pradesh",15.8235625,78.0389929,3.3546022320517257,284.67
52,Omega Hospital,KURNOOL,ANDHRA PRADESH,3.6,414.0,"Q3W7+5F Kurnool, Andhra Pradesh",15.7954375,78.0611179,2.07659791787487,284.67
53,Agraseni Hospital,KURNOOL,ANDHRA PRADESH,3.2,84.0,"R27R+VQ Kurnool, Andhra Pradesh",15.4860625,78.4737429,1.3367125342900072,284.67
54,GNR Hospital,KURNOOL,ANDHRA PRADESH,4.2,100.0,"R27Q+33 Kurnool, Andhra Pradesh",15.4860625,78.4737429,1.8474461908144255,284.67
55,Kims Rainbow Hospital Pvt Ltd,KURNOOL,ANDHRA PRADESH,4.7,7615.0,"R374+7R Kurnool, Andhra Pradesh",15.4860625,78.4737429,4.083823808662976,284.67
56,Sai Vani Hospital,NANDYAL,ANDHRA PRADESH,3.4,52.0,"FFPG+CG Nandyala, Andhra Pradesh",15.4860625,78.4737429,1.265792175485987,184.032
57,Sree Sai Multispecialty Hospital,NANDYAL,ANDHRA PRADESH,3.4,25.0,"FFMP+WX Nandyala, Andhra Pradesh",15.4860625,78.4737429,1.0264428426707597,184.032
58,Santhiram General Hospital,Nandyal,ANDHRA PRADESH,3.7,232.0,"FCV8+2X Nandyala, Andhra Pradesh",15.4860625,78.4882429,1.9250726398836195,184.032
59,Sri Narmada Hospital,NANDYAL,ANDHRA PRADESH,4.1,26.0,"FFPR+C8 Nandyala, Andhra Pradesh",15.4860625,78.4882429,1.2671699390578404,184.032
60,Maruthi Hospital,NELAMANGALA,ANDHRA PRADESH,4.0,73.0,"5C8X+RJ Nellimarla, Andhra Pradesh",18.1670625,83.4464929,1.6332250516685864,
61,Vijaya Krishna Hospital Pvt Ltd,NELLORE,ANDHRA PRADESH,3.5,66.0,"CXXM+J7 Nellore, Andhra Pradesh",14.4490625,79.9806179,1.3861290554429464,236.0
62,RSR Hospital,NELLORE,ANDHRA PRADESH,3.9,67.0,"CXXM+FW Nellore, Andhra Pradesh",14.4486875,79.9822429,1.5580851229966437,236.0
63,Rudra Multi Speciality Hospital,NELLORE,ANDHRA PRADESH,4.9,105.0,"FX2M+6V Nellore, Andhra Pradesh",14.4486875,79.9822429,2.190175511162397,236.0
64,KBR Orthopedic Hospital,NELLORE,ANDHRA PRADESH,3.9,21.0,"FX3P+26 Nellore, Andhra Pradesh",14.4525625,79.9829929,1.1230673983542263,236.0
65,Simhapuri Hospitals,NELLORE,ANDHRA PRADESH,4.5,20.0,"CXPX+MP Nellore, Andhra Pradesh",14.4366875,79.9967429,1.2856954275800798,236.0
66,Apollo Hospital Nellore,Nellore,ANDHRA PRADESH,4.9,13062.0,"CXQV+82 Nellore, Andhra Pradesh",14.4366875,79.9967429,4.521836150217474,236.0
67,"Kidz Rainbow Children And Baby Hospital Ramesh Reddy Nagar,Near Rtc Bus Stand.,,",Nellore,ANDHRA PRADESH,4.1,90.0,,14.4383125,79.9899929,1.7595748573158618,236.0
68,Lotus Hospital(Nellore),Nellore,ANDHRA PRADESH,4.7,1845.0,"CXXM+CV Nellore, Andhra Pradesh",14.4383125,79.9899929,3.42541990194744,236.0
69,Mydhili Hospital,Nellore,ANDHRA PRADESH,4.0,151.0,"4VW2+32 Gudur, Andhra Pradesh",14.1451875,79.8474929,1.9178253144213848,236.0
70,"Rainbow Super Speciality 
Hospital(Nellore)",Nellore,ANDHRA PRADESH,3.6,132.0,,14.4496875,79.9824929,1.6716753608262462,236.0
71,"Sai Suresh Children Surgical And 
Meternity Hospital",Nellore,ANDHRA PRADESH,4.6,15.0,"CXXP+V2 Nellore, Andhra Pradesh",14.4496875,79.9824929,1.192144402997363,236.0
72,St. Josephs Hospital.,Nellore,ANDHRA PRADESH,4.1,228.5,,14.4518125,79.9831179,2.134461682575174,236.0
73,Venkataramana Hospital,Nellore,ANDHRA PRADESH,4.1,199.0,"FX2P+P7 Nellore, Andhra Pradesh",14.4518125,79.9831179,2.0787031684037385,236.0
74,Vijaya Care Hospital,Nellore,ANDHRA PRADESH,3.0,29.0,"FX2Q+V4 Nellore, Andhra Pradesh",14.4521875,79.9852429,0.940058740001604,236.0
75,Reshma Mutilspeciality Hospital(RMH),NELLORE,ANDHRA PRADESH,4.3,82.0,"FX2P+J8 Nellore, Andhra Pradesh",14.4521875,79.9852429,1.809638860802521,236.0
76,Chaitanya Hospital Ongole,ONGOLE,ANDHRA PRADESH,3.6,35.0,"G26P+W7 Ongole, Andhra Pradesh",15.5123125,80.0331179,1.2066508823442958,160.0
77,Zachariah's Hospital,ONGOLE,ANDHRA PRADESH,4.4,40.0,"F2XV+C9 Ongole, Andhra Pradesh",15.4985625,80.0408679,1.5465832411334903,160.0
78,Srinivasa Hospital,ONGOLE,ANDHRA PRADESH,3.0,54.0,"G26Q+JP Ongole, Andhra Pradesh",15.5115625,80.0367429,1.1197989925046676,160.0
79,Sri Prasanthi Hospital,ONGOLE,ANDHRA PRADESH,4.7,193.0,"G26R+J8 Ongole, Andhra Pradesh",15.5115625,80.0367429,2.378779616091041,160.0
80,Prasad Multi Speciality Hospital,ONGOLE,ANDHRA PRADESH,3.9,43.0,"F2WX+VC Ongole, Andhra Pradesh",15.4971875,80.0459929,1.3902721783363938,160.0
81,Manasa Mother and Child Hospital,ONGOLE,ANDHRA PRADESH,3.6,103.0,"G26Q+VQ Ongole, Andhra Pradesh",15.5121875,80.0368679,1.5841532036996502,160.0
82,BGR Hospital,PRODDUTUR,ANDHRA PRADESH,4.4,10.0,"PGXX+H2 Proddatur, Andhra Pradesh",14.7489375,78.5449929,0.9743724471568452,183.532
83,Shree Madan Multispecialty Hospital,PRODDUTUR,ANDHRA PRADESH,3.7,36.0,,14.7489375,78.5449929,1.2520926485799335,183.532
84,Svr Hospital (Proddatur),PRODDUTUR,ANDHRA PRADESH,3.5,36.0,"QG2X+Q7 Proddatur, Andhra Pradesh",14.7489375,78.5449929,1.1807085029188955,183.532
85,Chandrakala Super Specialty Hospital,RAJAHMUNDRY,ANDHRA PRADESH,4.9,212.0,"2Q4P+W9 Rajamahendravaram, Andhra Pradesh",17.0073125,81.7833679,2.528173588020511,715.46
86,Kamala Hospital,SRIKAKULAM,ANDHRA PRADESH,3.5,26.0,,16.7571875,81.6748679,1.071703990003141,477.34
87,Mother Vannini Hospital,TADEPALLIGUDEM,ANDHRA PRADESH,4.0,41.0,,16.7571875,81.6748679,1.409283892873913,817.3
88,"Geeta Hospitals(Sri Geeta Health Care 
Pvt Ltd)",TANUKU,ANDHRA PRADESH,3.7,86.0,"QM4G+VX Tanuku, Andhra Pradesh",16.7571875,81.6748679,1.5647848274941747,817.3
89,Sri Aditya Hospital,TANUKU,ANDHRA PRADESH,4.6,37.0,,16.7571875,81.6748679,1.5854469939336653,817.3
90,Nisa Hospital,TANUKU,ANDHRA PRADESH,4.4,132.0,"QM4M+F3 Tanuku, Andhra Pradesh",16.7571875,81.6748679,2.0583841179319173,817.3
91,"Gayathri Hospitals ( A Unit Of 
J.D.Hospital Pvt.Ltd )",TIRUPATI,ANDHRA PRADESH,3.9,91.0,"JCPC+QG Tirupati, Andhra Pradesh",13.6369375,79.4187429,1.674612891018979,241.72
92,"Venkataramana Heart and Maternity 
Hospital",TIRUPATI,ANDHRA PRADESH,4.3,1080.0,"JCPC+42 Tirupati, Andhra Pradesh",13.6369375,79.4187429,2.900613978874756,241.72
93,Sri Sai Multi Speciality Hospital,TIRUPATI,ANDHRA PRADESH,4.5,92.0,"JCQ7+8M Tirupati, Andhra Pradesh",13.6353125,79.4174929,1.947594982378312,241.72
94,Gopi Madhavi Hospital,TIRUPATI,ANDHRA PRADESH,4.2,90.0,"JCPC+25 Tirupati, Andhra Pradesh",13.6383125,79.4116179,1.8041623915467195,241.72
95,Care Plus Hospitals,TIRUPATI,ANDHRA PRADESH,4.6,57.0,"JC97+M9 Tirupati, Andhra Pradesh",13.6191875,79.4108679,1.7777142629627252,241.72
96,Suraksha Hospital Tirupati,TIRUPATI,ANDHRA PRADESH,4.2,132.0,"JCRM+X3 Tirupati, Andhra Pradesh",13.6424375,79.4301179,1.9617069286555,241.72
97,Fortuna Women & Orthocare Hospital,TIRUPATI,ANDHRA PRADESH,3.6,203.0,"JCF6+3H Tirupati, Andhra Pradesh",13.6226875,79.4088679,1.8238940080948187,241.72
98,Elite Multi Specialiy Hospital Pvt Ltd,Tirupati,ANDHRA PRADESH,4.5,343.0,"JCPC+HP Tirupati, Andhra Pradesh",13.6364375,79.4192429,2.529414669064188,241.72
99,"Sree Ramadevi Multi Super Speciality 
Hospital",Tirupati,ANDHRA PRADESH,4.3,1449.0,"JCQ9+52 Tirupati, Andhra Pradesh",13.6379375,79.4149929,3.0254363912665125,241.72
100,Vidyu Hemanth Hospital Tirupati,Tirupati,ANDHRA PRADESH,4.4,59.0,"JCPC+99 Tirupati, Andhra Pradesh",13.6379375,79.4149929,1.7121878432621518,241.72
101,Amma Children Hospital,TIRUPATI,ANDHRA PRADESH,3.8,133.0,"JCQF+5M Tirupati, Andhra Pradesh",13.6359375,79.4183679,1.771166125232377,241.72
102,Helios Hospital,TIRUPATI,ANDHRA PRADESH,4.7,1239.0,"JCQF+8G Tirupati, Andhra Pradesh",13.6379375,79.4216179,3.2405626040223208,241.72
103,"Narayanadri Hospital & Research 
Institute PVT LTD",TIRUPATI,ANDHRA PRADESH,4.9,9953.0,"JFH7+9G Tirupati, Andhra Pradesh",13.6284375,79.4612429,4.390188052326586,241.72
104,Andhra Hospitals,Vijayawada,ANDHRA PRADESH,4.6,2201.0,"GJ6H+CQ Vijayawada, Andhra Pradesh",16.5110625,80.6268679,3.4312625146167584,459.602
105,Anu Hospital,Vijayawada,ANDHRA PRADESH,4.2,819.0,,16.4844375,80.6143679,2.716843408052396,459.602
106,Boppana Superspeciality Hospital,Vijayawada,ANDHRA PRADESH,4.8,6594.0,"FJM8+QQ Vijayawada, Andhra Pradesh",16.4844375,80.6143679,4.103878544445022,459.602
107,"Gayathri Women And Child Care Hospital 
Pediatric Super Speciality Center",Vijayawada,ANDHRA PRADESH,4.8,6594.0,"FJM8+QQ Vijayawada, Andhra Pradesh",16.4844375,80.6143679,4.103878544445022,459.602
108,Giridhar Ent Hospital And Laser Centre,Vijayawada,ANDHRA PRADESH,4.3,96.0,"GJ7M+9G Vijayawada, Andhra Pradesh",16.5134375,80.6312429,1.875888905969137,459.602
109,Kamineni Hospitals,Vijayawada,ANDHRA PRADESH,4.7,4262.0,,16.4899375,80.6689929,3.8142434555660247,459.602
110,Liberty Hospitals,Vijayawada,ANDHRA PRADESH,3.6,346.0,"FMQC+XJ Vijayawada, Andhra Pradesh",16.4899375,80.6689929,2.01291874180471,459.602
111,Life Line Hospital Trimurthy Hospital,Vijayawada,ANDHRA PRADESH,3.7,130.0,"GJ6P+92 Vijayawada, Andhra Pradesh",16.5109375,80.6324929,1.7144725458751169,459.602
112,Mjnaidu Super Speciality Hospital,Vijayawada,ANDHRA PRADESH,4.6,1297.0,"GJ6Q+C6 Vijayawada, Andhra Pradesh",16.5109375,80.6324929,3.190941906830353,459.602
113,Nori Multi Speciality Hospital,Vijayawada,ANDHRA PRADESH,4.4,944.0,"GJ9J+HG Vijayawada, Andhra Pradesh",16.5189375,80.6287429,2.911185820262065,459.602
114,Sagar Super Speciality Hospitals.,Vijayawada,ANDHRA PRADESH,5.0,1.0,,16.5098125,80.6623679,0.2740561845970949,459.602
115,Sentini Hospitals Pvt Ltd,Vijayawada,ANDHRA PRADESH,4.4,1600.0,"GM57+WX Vijayawada, Andhra Pradesh",16.5098125,80.6623679,3.1404737707932857,459.602
116,Sindhura Hospitals Vijayawada,Vijayawada,ANDHRA PRADESH,3.6,127.0,"GJ7M+38 Vijayawada, Andhra Pradesh",16.5126875,80.6307429,1.6580399168124242,459.602
117,Sri Santhi Hospitals,Vijayawada,ANDHRA PRADESH,3.2,115.0,,16.4844375,80.6143679,1.4350636383019668,459.602
118,Vignesh Super Specialities Hospital,Vijayawada,ANDHRA PRADESH,4.8,6594.0,"FJM8+QQ Vijayawada, Andhra Pradesh",16.4844375,80.6143679,4.103878544445022,459.602
119,Vijaya Super Speciality Hospital,Vijayawada,ANDHRA PRADESH,4.5,1609.0,"GJ7P+FW Vijayawada, Andhra Pradesh",16.5136875,80.6347429,3.2158987583066496,459.602
120,"Vijaywada Multi Speciality Hospital (A 
Unit Of Durgabhavani Hosp Pvt Ltd)",Vijayawada,ANDHRA PRADESH,3.9,89.0,"GHFV+MM Vijayawada, Andhra Pradesh",16.5241875,80.5916179,1.66614013213205,459.602
121,Vijetha Hospital(Vijayawada),Vijayawada,ANDHRA PRADESH,3.3,4.0,"GJ7P+W3 Vijayawada, Andhra Pradesh",16.5148125,80.6326179,0.4564654263904724,459.602
122,Charithasri Hospital Ltd,VIJAYWADA,ANDHRA PRADESH,4.8,6594.0,"FJM8+QQ Vijayawada, Andhra Pradesh",16.4844375,80.6143679,4.103878544445022,459.602
123,"Andhra Hospitals (Bhavanipuram) Pvt Ltd D.NO.16-72/1,OPP.HIGH SCHOOL, Gollapudi",VIJAYWADA,ANDHRA PRADESH,4.6,20.0,"GHPM+JV Vijayawada, Andhra Pradesh",16.5365625,80.5821179,1.3157889714407325,459.602
124,Srikara Hospitals,VIJAYWADA,ANDHRA PRADESH,4.7,2035.0,"GP22+V7 Penamaluru, Andhra Pradesh",16.5021875,80.6981179,3.470932038410795,459.602
125,Vennela Mother And Child Hospital,VIJAYWADA,ANDHRA PRADESH,3.9,70.0,"FMX4+W2 Vijayawada, Andhra Pradesh",16.5113125,80.6157429,1.5747277798639432,459.602
126,"Global Multispeciality Hospital (Global 
Medical Center)",VIJAYWADA,ANDHRA PRADESH,3.0,89.0,"GJ69+G8 Vijayawada, Andhra Pradesh",16.5113125,80.6157429,1.265835321759437,459.602
127,Sunrise Hospital(Vijayawada),VIJAYWADA,ANDHRA PRADESH,2.9,531.0,"GJ7Q+4M Vijayawada, Andhra Pradesh",16.5128125,80.6366179,1.730686666024572,459.602
128,Time Hospitals Pvt Ltd,VIJAYWADA,ANDHRA PRADESH,5.0,1.0,"FMX3+2X Vijayawada, Andhra Pradesh",16.4975625,80.6523679,0.2740561845970949,459.602
129,Bmr Hospitals,VIJAYWADA,ANDHRA PRADESH,3.7,3.0,,16.5106875,80.6347429,0.4384898953553518,459.602
130,Nandan Hospital,VIJAYWADA,ANDHRA PRADESH,4.6,70.0,"GJ6P+7W Vijayawada, Andhra Pradesh",16.5106875,80.6347429,1.869668620430418,459.602
131,Bharathi Hospital,Visakhapatnam,ANDHRA PRADESH,4.4,208.0,"P865+8C Visakhapatnam, Andhra Pradesh",17.7108125,83.3059929,2.254960334614157,1869.8
132,Annapoorna Hospital,Visakhapatnam,ANDHRA PRADESH,2.8,20.0,"P8G3+XR Visakhapatnam, Andhra Pradesh",17.7274375,83.3019929,0.7741051819489906,1869.8
133,Seven Hills Hospitals Ltd,VISAKHAPATNAM,ANDHRA PRADESH,4.1,1893.0,"P885+WP Visakhapatnam, Andhra Pradesh",17.7173125,83.3067429,2.98978885016138,1869.8
134,"Lotus Hospitals For Women And Children #10-59-9, opposite Waltair Club, behind Gothi sons,",VISAKHAPATNAM,ANDHRA PRADESH,4.4,636.0,"P8C7+GX Visakhapatnam, Andhra Pradesh",17.7173125,83.3067429,2.739647736632313,1869.8
135,Usha Prime Molti Speciality Hospital,VISAKHAPATNAM,ANDHRA PRADESH,4.5,892.0,,17.7061875,83.3066179,2.953731217635895,1869.8
136,Abc Hospital(Visakhapatnam),Visakhapatnam,ANDHRA PRADESH,3.4,118.0,"P845+FM Visakhapatnam, Andhra Pradesh",17.7061875,83.3066179,1.5376182860995096,1869.8
137,"Aditya Multicare 
Hospital(Visakhapatnam)",Visakhapatnam,ANDHRA PRADESH,2.9,68.0,,17.7173125,83.3066179,1.1451931608041597,1869.8
138,Apollo Hospital (Visakhapatnam),VISAKHAPATNAM,ANDHRA PRADESH,4.8,3804.0,"P885+WM Visakhapatnam, Andhra Pradesh",17.7173125,83.3066179,3.842930070625971,1869.8
139,"Care Hospital( The Institute Of Medical 
Sciences)",Visakhapatnam,ANDHRA PRADESH,4.6,4917.0,"P8C7+44 Visakhapatnam, Andhra Pradesh",17.7173125,83.3066179,3.7966193814061353,1869.8
140,Durga Hospital (Kancharapalem),Visakhapatnam,ANDHRA PRADESH,4.0,136.0,"P7PC+9J Visakhapatnam, Andhra Pradesh",17.7359375,83.2689929,1.8767455446546588,1869.8
141,Kims Icon Hospital(Icon Krishi Hospital),VISAKHAPATNAM,ANDHRA PRADESH,4.5,24414.0,"P57W+Q7 Visakhapatnam, Andhra Pradesh",17.7144375,83.1931179,4.425298994572883,1869.8
142,Kala Hospital(Visakhapatnam),Visakhapatnam,ANDHRA PRADESH,3.1,137.0,"P8H4+J8 Visakhapatnam, Andhra Pradesh",17.7290625,83.3032429,1.4412906491740418,1869.8
143,"Mahatma Gandhi Cancer Hospital And 
Research Institute (Visakhpatnam)",Visakhapatnam,ANDHRA PRADESH,4.9,5864.0,"P8VP+F8 Visakhapatnam, Andhra Pradesh",17.7436875,83.3332429,4.1339858151731415,1869.8
144,"Mycure Hospitals Unit Ii (Sahrudaya 
Healthcare Pvt Ltd)",VISAKHAPATNAM,ANDHRA PRADESH,4.1,228.5,,17.7186875,83.3089929,2.134461682575174,1869.8
145,Omni Rk Super Hospital,Visakhapatnam,ANDHRA PRADESH,4.0,1700.0,"P896+FJ Visakhapatnam, Andhra Pradesh",17.7186875,83.3089929,2.87270281098526,1869.8
146,Padmaja Hospital (Visakhapatnam),Visakhapatnam,ANDHRA PRADESH,2.9,167.0,"M6P3+MC Visakhapatnam, Andhra Pradesh",17.6866875,83.2009929,1.4002709273083245,1869.8
147,Padmasri Hospitals,Visakhapatnam,ANDHRA PRADESH,3.1,136.0,"P8Q3+7F Visakhapatnam, Andhra Pradesh",17.7381875,83.3011179,1.439062136723774,1869.8
148,"Queen'S Nri Hospital ( Chalasani 
Hospitals Pvt Ltd)",Visakhapatnam,ANDHRA PRADESH,4.5,2079.0,"P8R5+75 Visakhapatnam, Andhra Pradesh",17.7381875,83.3011179,3.32982753042318,1869.8
149,Raghavendra Hospital(Vishakhapatnam),Visakhapatnam,ANDHRA PRADESH,4.3,16.0,"P8Q3+WM Visakhapatnam, Andhra Pradesh",17.7640625,83.3064929,1.1356950101278556,1869.8
